analisis,tabla,columna,n,pct_iguales,dmax,estado,modo,filas_nueva,filas_vieja
analiceDB,01_dimensiones_capas.csv,n,11.0,0.5454545454545454,1543219.0,explicado por el recorte,fila,11,11
analiceDB,01_disponibilidad_especie.csv,con_interpro,30.0,1.0,0.0,idéntico,distribucion,30,30
analiceDB,01_disponibilidad_especie.csv,con_orthomcl,29.0,1.0,0.0,idéntico,distribucion,30,30
analiceDB,01_disponibilidad_especie.csv,druggables,30.0,1.0,0.0,idéntico,distribucion,30,30
analiceDB,01_disponibilidad_especie.csv,pct_interpro,30.0,1.0,4.527676281895765e-05,idéntico,distribucion,30,30
analiceDB,01_disponibilidad_especie.csv,pct_orthomcl,29.0,1.0,5.4073908358986955e-05,idéntico,distribucion,30,30
analiceDB,01_disponibilidad_especie.csv,proteinas,30.0,1.0,0.03333333333284827,idéntico,distribucion,30,30
analiceDB,02_conectividad_anotaciones.csv,(sin columnas numericas comunes),,,,sin datos,,16,16
analiceDB,02_conectividad_drogas.csv,(sin columnas numericas comunes),,,,sin datos,,16,16
analiceDB,03_bioactividades_por_tag.csv,cluster_consistent,8.0,1.0,0.0,idéntico,fila,8,8
analiceDB,03_bioactividades_por_tag.csv,n,8.0,0.5,1499732.0,explicado por el recorte,fila,8,8
analiceDB,03_bioactividades_por_tag.csv,pct,8.0,0.0,6.607042563891611,explicado por el recorte,fila,8,8
analiceDB,03_compuestos_promiscuos.csv,drug_id,5.0,0.0,488006.0,explicado por el recorte,fila,5,30
analiceDB,03_compuestos_promiscuos.csv,molweight,5.0,0.0,40.056452255999986,explicado por el recorte,fila,5,30
analiceDB,03_compuestos_promiscuos.csv,n_parentales,5.0,0.0,24321.0,explicado por el recorte,fila,5,30
analiceDB,03_curva_filtrado.csv,aristas_filtrables,92.0,0.13043478260869565,214621.0,explicado por el recorte,fila,92,92
analiceDB,03_curva_filtrado.csv,compuestos_filtrables,92.0,0.13043478260869565,1990.0,explicado por el recorte,fila,92,92
analiceDB,03_curva_filtrado.csv,mw_max,92.0,1.0,0.0,idéntico,fila,92,92
analiceDB,03_curva_filtrado.csv,umbral_promiscuidad,92.0,1.0,0.0,idéntico,fila,92,92
analiceDB,03_impacto_filtro.csv,aristas_filtradas,1.0,0.0,96630.0,explicado por el recorte,fila,1,1
analiceDB,03_impacto_filtro.csv,compuestos_filtrados,1.0,0.0,25.0,explicado por el recorte,fila,1,1
analiceDB,03_impacto_filtro.csv,mw_mediana_filtrados,1.0,0.0,13.518025580000014,explicado por el recorte,fila,1,1
analiceDB,03_impacto_filtro.csv,n_parentales_p99,1.0,0.0,7.0,explicado por el recorte,fila,1,1
